STORE,ZONE_ID,NAME,CURRENCY_CODE
3973,5,UK National,GBP
3974,5,UK National,GBP
3975,5,UK National,GBP
3976,5,UK National,GBP
3977,5,UK National,GBP
3978,5,UK National,GBP
3979,5,UK National,GBP
3980,5,UK National,GBP
3981,5,UK National,GBP
3982,5,UK National,GBP
3983,5,UK National,GBP
3985,5,UK National,GBP
3986,5,UK National,GBP
3987,5,UK National,GBP
3988,5,UK National,GBP
3989,5,UK National,GBP
3990,5,UK National,GBP
3991,5,UK National,GBP
3992,5,UK National,GBP
3993,5,UK National,GBP
3994,5,UK National,GBP
3995,5,UK National,GBP
3996,5,UK National,GBP
3997,5,UK National,GBP
3999,5,UK National,GBP
4003,5,UK National,GBP
4004,5,UK National,GBP
4005,5,UK National,GBP
4006,5,UK National,GBP
4007,5,UK National,GBP
4009,5,UK National,GBP
4010,5,UK National,GBP
4012,5,UK National,GBP
4014,5,UK National,GBP
4015,5,UK National,GBP
4017,5,UK National,GBP
4018,5,UK National,GBP
4021,5,UK National,GBP
4022,5,UK National,GBP
4023,5,UK National,GBP
4024,5,UK National,GBP
4025,5,UK National,GBP
4026,5,UK National,GBP
4027,5,UK National,GBP
4028,5,UK National,GBP
4029,5,UK National,GBP
4030,5,UK National,GBP
4031,5,UK National,GBP
4032,5,UK National,GBP
4033,5,UK National,GBP
4034,5,UK National,GBP
4035,5,UK National,GBP
4036,5,UK National,GBP
4037,5,UK National,GBP
4040,5,UK National,GBP
4041,5,UK National,GBP
4042,5,UK National,GBP
4043,5,UK National,GBP
4044,5,UK National,GBP
4045,5,UK National,GBP
4046,5,UK National,GBP
4048,5,UK National,GBP
4049,5,UK National,GBP
4050,5,UK National,GBP
4051,5,UK National,GBP
4052,5,UK National,GBP
4053,5,UK National,GBP
4054,5,UK National,GBP
4055,5,UK National,GBP
4057,5,UK National,GBP
4058,5,UK National,GBP
4060,5,UK National,GBP
4061,5,UK National,GBP
4062,5,UK National,GBP
4063,5,UK National,GBP
4064,5,UK National,GBP
4065,5,UK National,GBP
4067,5,UK National,GBP
4068,5,UK National,GBP
4069,5,UK National,GBP
4070,5,UK National,GBP
4071,5,UK National,GBP
4072,5,UK National,GBP
4073,5,UK National,GBP
4075,5,UK National,GBP
4076,5,UK National,GBP
4077,5,UK National,GBP
4078,5,UK National,GBP
4080,5,UK National,GBP
4081,5,UK National,GBP
4082,5,UK National,GBP
4083,5,UK National,GBP
4086,5,UK National,GBP
4087,5,UK National,GBP
4088,5,UK National,GBP
4089,5,UK National,GBP
4090,5,UK National,GBP
4091,5,UK National,GBP
4092,5,UK National,GBP
4095,5,UK National,GBP
4097,5,UK National,GBP
4098,5,UK National,GBP
4100,5,UK National,GBP
4109,5,UK National,GBP
4110,5,UK National,GBP
4111,5,UK National,GBP
4112,5,UK National,GBP
4113,5,UK National,GBP
4114,5,UK National,GBP
4115,5,UK National,GBP
4116,5,UK National,GBP
4118,5,UK National,GBP
4120,5,UK National,GBP
4121,5,UK National,GBP
4123,5,UK National,GBP
4125,5,UK National,GBP
4128,5,UK National,GBP
4129,5,UK National,GBP
4131,5,UK National,GBP
4133,5,UK National,GBP
4134,5,UK National,GBP
4136,5,UK National,GBP
4137,5,UK National,GBP
4138,5,UK National,GBP
4140,5,UK National,GBP
4141,5,UK National,GBP
4142,5,UK National,GBP
4144,5,UK National,GBP
4145,5,UK National,GBP
4146,5,UK National,GBP
4147,5,UK National,GBP
4149,5,UK National,GBP
4151,5,UK National,GBP
4152,5,UK National,GBP
4153,5,UK National,GBP
4155,5,UK National,GBP
4156,5,UK National,GBP
4159,5,UK National,GBP
4160,5,UK National,GBP
4162,5,UK National,GBP
4164,5,UK National,GBP
4165,5,UK National,GBP
4168,5,UK National,GBP
4169,5,UK National,GBP
4171,5,UK National,GBP
4172,5,UK National,GBP
4173,5,UK National,GBP
4174,5,UK National,GBP
4175,5,UK National,GBP
4176,5,UK National,GBP
4177,5,UK National,GBP
4180,5,UK National,GBP
4183,5,UK National,GBP
4184,5,UK National,GBP
4185,5,UK National,GBP
4186,5,UK National,GBP
4188,5,UK National,GBP
4191,5,UK National,GBP
4193,5,UK National,GBP
4194,5,UK National,GBP
4195,5,UK National,GBP
4196,5,UK National,GBP
4197,5,UK National,GBP
4198,5,UK National,GBP
4203,5,UK National,GBP
4204,5,UK National,GBP
4205,5,UK National,GBP
4206,5,UK National,GBP
4209,5,UK National,GBP
4211,5,UK National,GBP
4213,5,UK National,GBP
4214,5,UK National,GBP
4215,5,UK National,GBP
4216,5,UK National,GBP
4217,5,UK National,GBP
4218,5,UK National,GBP
4221,5,UK National,GBP
4223,5,UK National,GBP
4224,5,UK National,GBP
4225,5,UK National,GBP
4228,5,UK National,GBP
4229,5,UK National,GBP
4230,5,UK National,GBP
4231,5,UK National,GBP
4232,5,UK National,GBP
4233,5,UK National,GBP
4234,5,UK National,GBP
4235,5,UK National,GBP
4237,5,UK National,GBP
4238,5,UK National,GBP
4239,5,UK National,GBP
4242,5,UK National,GBP
4244,5,UK National,GBP
4245,5,UK National,GBP
4246,5,UK National,GBP
4247,5,UK National,GBP
4248,5,UK National,GBP
4249,5,UK National,GBP
4251,5,UK National,GBP
4252,5,UK National,GBP
4253,5,UK National,GBP
4254,5,UK National,GBP
4255,5,UK National,GBP
4256,5,UK National,GBP
4260,5,UK National,GBP
4338,5,UK National,GBP
4341,5,UK National,GBP
4342,5,UK National,GBP
4357,5,UK National,GBP
4359,5,UK National,GBP
4368,5,UK National,GBP
4375,5,UK National,GBP
4394,5,UK National,GBP
4395,5,UK National,GBP
4520,5,UK National,GBP
5014,5,UK National,GBP
5029,5,UK National,GBP
5031,5,UK National,GBP
5039,5,UK National,GBP
5040,5,UK National,GBP
5105,5,UK National,GBP
5106,5,UK National,GBP
5107,5,UK National,GBP
5108,5,UK National,GBP
5109,5,UK National,GBP
5110,5,UK National,GBP
5111,5,UK National,GBP
5112,5,UK National,GBP
5113,5,UK National,GBP
5114,5,UK National,GBP
5119,5,UK National,GBP
5120,5,UK National,GBP
5121,5,UK National,GBP
5122,5,UK National,GBP
5123,5,UK National,GBP
5124,5,UK National,GBP
5125,5,UK National,GBP
5127,5,UK National,GBP
5128,5,UK National,GBP
5129,5,UK National,GBP
5130,5,UK National,GBP
5131,5,UK National,GBP
5132,5,UK National,GBP
5135,5,UK National,GBP
5137,5,UK National,GBP
5138,5,UK National,GBP
5148,5,UK National,GBP
5168,5,UK National,GBP
5170,5,UK National,GBP
5182,5,UK National,GBP
5184,5,UK National,GBP
5185,5,UK National,GBP
5194,5,UK National,GBP
5198,5,UK National,GBP
5210,5,UK National,GBP
5232,5,UK National,GBP
5239,5,UK National,GBP
5249,5,UK National,GBP
5291,5,UK National,GBP
5292,5,UK National,GBP
5294,5,UK National,GBP
5295,5,UK National,GBP
5299,5,UK National,GBP
5301,5,UK National,GBP
5302,5,UK National,GBP
5303,5,UK National,GBP
5304,5,UK National,GBP
5308,5,UK National,GBP
5325,5,UK National,GBP
5326,5,UK National,GBP
5327,5,UK National,GBP
